DBMS,Rank_Feb-2024,Rank_Jan-2024,Rank_Feb-2023,Database Model,Score_Feb-2024,Score_Jan-2024,Score_Feb-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Tibco ComputeDB,322.0,340.0,333.0,Relational,0.24,0.00,-0.03,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
RDFox,323.0,314.0,321.0,Multi-model,0.23,-0.12,-0.09,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no
YottaDB,324.0,313.0,,"Key-value, Multi-model",0.23,-0.13,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS","YottaDB, LLC","A fast and solid embedded,Key-value store",2001.0,,Open Source,AGPL 3.0,no
FeatureBase,325.0,320.0,292.0,Relational,0.23,-0.10,-0.19,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
XTDB,326.0,332.0,361.0,Document,0.22,-0.05,+0.04,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
NosDB,327.0,345.0,348.0,Document,0.22,+0.02,+0.00,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no
Kyoto Tycoon,328.0,335.0,376.0,Key-value,0.22,-0.04,+0.16,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no
Transbase,329.0,300.0,274.0,Relational,0.22,-0.21,-0.30,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no
BigObject,330.0,324.0,356.0,Relational,0.2,-0.10,+0.01,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no
Alibaba Cloud Table Store,331.0,344.0,346.0,Wide column,0.19,-0.02,-0.04,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes
Dydra,332.0,336.0,336.0,RDF,0.18,-0.07,-0.07,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no
CubicWeb,333.0,321.0,304.0,RDF,0.18,-0.15,-0.20,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no
GraphBase,334.0,351.0,308.0,Graph,0.17,-0.01,-0.20,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no
EsgynDB,335.0,361.0,363.0,Relational,0.17,+0.01,0.00,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no
IBM Db2 Event Store,336.0,356.0,365.0,Multi-model,0.17,-0.01,+0.01,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no
Ultipa,337.0,331.0,302.0,Graph,0.16,-0.11,-0.23,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
NEventStore,338.0,328.0,319.0,Event,0.16,-0.13,-0.17,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
SiriDB,339.0,360.0,356.0,Time Series,0.14,-0.02,-0.05,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no
Valentina Server,340.0,349.0,299.0,Relational,0.14,-0.05,-0.26,https://db-engines.com/en/system/Valentina+Server,,Paradigma Software,Object-relational database and reports server,1999.0,5.7.5,commercial,,no
Actian PSQL,341.0,343.0,326.0,Relational,0.13,-0.08,-0.17,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v15 SP2 (15.20), August 2021",commercial,,no
Linter,342.0,366.0,366.0,"Relational, Multi-model",0.13,-0.01,-0.02,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru,RDBMS for high security requirements,1990.0,,commercial,,no
XtremeData,343.0,330.0,307.0,Relational,0.13,-0.15,-0.24,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no
Sparksee,344.0,346.0,314.0,Graph,0.13,-0.08,-0.22,https://db-engines.com/en/system/Sparksee,,,,2008.0,"v6.0, 2021",commercial,,no
SiteWhere,345.0,338.0,332.0,Time Series,0.12,-0.13,-0.14,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no
HyperLevelDB,346.0,353.0,337.0,Key-value,0.12,-0.06,-0.13,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no
Eloquera,347.0,327.0,345.0,Object oriented,0.11,-0.17,-0.11,https://db-engines.com/en/system/Eloquera,,,,2008.0,6.3.3; January 2014,commercial,free licenses,no
Siaqodb,348.0,339.0,354.0,Object oriented,0.11,-0.14,-0.08,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no
Alibaba Cloud TSDB,349.0,372.0,364.0,Time Series,0.11,-0.01,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
Hawkular Metrics,350.0,352.0,353.0,Time Series,0.11,-0.08,-0.09,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",2014.0,,Open Source,Apache 2.0,no
Tigris,351.0,342.0,329.0,Multi-model,0.09,-0.13,-0.20,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no
Quasardb,352.0,359.0,352.0,Time Series,0.09,-0.08,-0.11,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,"3.14.1, January 2024",commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no
HugeGraph,353.0,347.0,287.0,Graph,0.09,-0.11,-0.37,https://db-engines.com/en/system/HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no
Indica,354.0,376.0,389.0,Search engine,0.08,-0.01,+0.08,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no
GreptimeDB,355.0,357.0,330.0,Time Series,0.08,-0.08,-0.21,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no
DataFS,356.0,378.0,373.0,"Object oriented, Multi-model",0.08,-0.01,-0.01,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no
Upscaledb,357.0,334.0,320.0,Key-value,0.08,-0.18,-0.25,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no
SenseiDB,358.0,348.0,372.0,Document,0.07,-0.12,-0.05,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no
TinkerGraph,359.0,354.0,303.0,Graph,0.07,-0.11,-0.31,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no
Exorbyte,360.0,337.0,324.0,Search engine,0.07,-0.19,-0.24,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no
ActorDB,361.0,363.0,347.0,Relational,0.06,-0.09,-0.16,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no
OushuDB,362.0,381.0,374.0,Relational,0.06,-0.01,-0.02,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no
YTsaurus,363.0,373.0,,Multi-model,0.06,-0.06,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store",Yandex,YTsaurus is an open source platform for distributed storage and processing.,2023.0,,Open Source,"Apache License, Version 2.0",no
AgensGraph,364.0,383.0,375.0,Multi-model,0.06,-0.01,-0.01,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",2016.0,"2.1, December 2018",Open Source,Apache License 2.0,no
STSdb,365.0,341.0,317.0,Key-value,0.06,-0.19,-0.28,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,"4.0.8, September 2015",Open Source,"GPLv2, commercial license available",no
Warp 10,366.0,384.0,378.0,Time Series,0.05,-0.01,+0.01,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",2015.0,,Open Source,Apache License 2.0,no
Acebase,367.0,364.0,335.0,Document,0.05,-0.10,-0.21,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no
ScaleOut StateServer,368.0,385.0,380.0,Key-value,0.05,-0.01,+0.01,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no
ArcadeDB,369.0,355.0,294.0,Multi-model,0.05,-0.13,-0.37,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",Arcade Data,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,September 2021,Open Source,Apache Version 2.0,no
gStore,370.0,387.0,,Multi-model,0.04,0.00,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store",,"A native,Graph DBMS,to store and maintain very large RDF datasets.",2016.0,"1.2, November 2023",Open Source,BSD,no
BrightstarDB,371.0,358.0,331.0,RDF,0.04,-0.12,-0.23,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no
Blueflood,372.0,368.0,350.0,Time Series,0.04,-0.09,-0.17,https://db-engines.com/en/system/Blueflood,,Rackspace,"Scalable TimeSeries DBMS based on,Cassandra",2013.0,,Open Source,Apache 2.0,no
TomP2P,373.0,362.0,356.0,Key-value,0.03,-0.12,-0.16,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no
H2GIS,374.0,365.0,351.0,"Spatial, Multi-model",0.03,-0.12,-0.17,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no
LedisDB,375.0,367.0,355.0,Key-value,0.03,-0.10,-0.17,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no
openGemini,376.0,380.0,,Time Series,0.03,-0.05,,https://db-engines.com/en/system/openGemini,,Huawei and openGemini community,"An open source distributed,Time Series DBMS,with high concurrency, high performance, and high scalability",2022.0,"1.1, July 2023",Open Source,Apache Version 2.0,no
Transwarp KunDB,377.0,375.0,325.0,Relational,0.02,-0.08,-0.28,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no
WakandaDB,378.0,389.0,386.0,Object oriented,0.02,-0.01,+0.02,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no
DaggerDB,379.0,390.0,389.0,Relational,0.02,-0.01,+0.02,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no
SmallSQL,380.0,393.0,379.0,Relational,0.02,+0.00,-0.02,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no
SparkleDB,381.0,394.0,381.0,RDF,0.02,+0.00,-0.02,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no
InfinityDB,382.0,386.0,377.0,Key-value,0.02,-0.03,-0.04,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no
WhiteDB,383.0,369.0,356.0,Document,0.01,-0.11,-0.18,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no
NSDb,384.0,391.0,389.0,Time Series,0.01,-0.01,+0.01,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no
Resin Cache,385.0,396.0,382.0,Key-value,0.01,0.00,-0.01,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,1998.0,"4.0.66, December 2021",Open Source,"GPLv3, extended commercial license available",no
RaptorDB,386.0,370.0,343.0,Document,0.01,-0.11,-0.22,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
TerarkDB,386.0,370.0,337.0,Key-value,0.01,-0.11,-0.23,https://db-engines.com/en/system/TerarkDB,,"ByteDance, originally Terark","A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no
SWC-DB,388.0,397.0,383.0,"Wide column, Multi-model",0.01,+0.00,-0.01,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",2020.0,"0.5, April 2021",Open Source,GPL V3,no
Cachelot.io,389.0,392.0,389.0,Key-value,0.01,-0.01,+0.01,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,2015.0,,Open Source,Simplified BSD License,no
Skytable,390.0,350.0,300.0,Key-value,0.01,-0.18,-0.39,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no
Transwarp ArgoDB,391.0,399.0,389.0,"Relational, Multi-model",0.0,0.00,+0.00,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no
OrigoDB,392.0,374.0,337.0,Multi-model,0.0,-0.11,-0.24,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no
Faircom EDGE,393.0,398.0,387.0,Multi-model,0.0,-0.01,0.00,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",1979.0,"V3, October 2020",commercial,"Restricted, free version available",no
SwayDB,394.0,400.0,388.0,Key-value,0.0,+0.00,0.00,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",2018.0,,Open Source,GNU Affero GPL V3.0,no
BergDB,395.0,401.0,389.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no
chDB,395.0,,,"Relational, Multi-model",0.0,,,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS",,An embedded SQL OLAP Engine powered by ClickHouse,2023.0,,Open Source,Apache Version 2.0,no
CortexDB,395.0,401.0,389.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no
CovenantSQL,395.0,401.0,389.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no
Edge Intelligence,395.0,382.0,337.0,Relational,0.0,-0.07,-0.25,https://db-engines.com/en/system/Edge+Intelligence,,Adapdix,A Big Data Analytics Platform,2012.0,,commercial,,no
EdgelessDB,395.0,401.0,389.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no
Galaxybase,395.0,401.0,389.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",2017.0,"Nov 20, November 2021",commercial,,no
Helium,395.0,401.0,389.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no
HGraphDB,395.0,401.0,369.0,Graph,0.0,±0.00,-0.13,https://db-engines.com/en/system/HGraphDB,,,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",2016.0,,Open Source,Apache 2.0,no
iBoxDB,395.0,377.0,337.0,Document,0.0,-0.09,-0.25,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no
JaguarDB,395.0,401.0,389.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS","DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",2015.0,3.3 July 2023,Open Source,GPL V3.0,no
JasDB,395.0,401.0,389.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no
JethroData,395.0,395.0,349.0,Relational,0.0,-0.02,-0.21,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no
K-DB,395.0,401.0,389.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no
Newts,395.0,388.0,389.0,Time Series,0.0,-0.04,±0.00,https://db-engines.com/en/system/Newts,,OpenNMS Group,"Time Series DBMS based on,Cassandra",2014.0,,Open Source,Apache 2.0,no
Rizhiyi,395.0,401.0,385.0,"Search engine, Multi-model",0.0,±0.00,-0.02,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no
Sadas Engine,395.0,401.0,384.0,Relational,0.0,±0.00,-0.02,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in data warehouse environments,2006.0,8.0,commercial,free trial version available,no
searchxml,395.0,401.0,389.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,1.0,commercial,,no
SpaceTime,395.0,401.0,389.0,"Spatial, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no
Tkrzw,395.0,401.0,389.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,"0.9.3, August 2020",Open Source,Apache Version 2.0,no
Transwarp Hippo,395.0,401.0,,Vector,0.0,±0.00,,https://db-engines.com/en/system/Transwarp+Hippo,,,"Cloud-native distributed,Vector DBMS,that supports storage, retrieval, and management of massive vector-based datasets",2023.0,"1.0, May 2023",commercial,,no
Transwarp StellarDB,395.0,401.0,389.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no
VelocityDB,395.0,379.0,356.0,Multi-model,0.0,-0.08,-0.19,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,7.x,commercial,,no
