DBMS,Rank_Mar-2024,Rank_Feb-2024,Rank_Mar-2023,Database Model,Score_Mar-2024,Score_Feb-2024,Score_Mar-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Tibco ComputeDB,322.0,322.0,318.0,Relational,0.23,-0.01,-0.04,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
TerminusDB,323.0,305.0,314.0,"Graph, Multi-model",0.23,-0.06,-0.06,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,"11.0.0, January 2023",Open Source,GPL V3,no
Alibaba Cloud Table Store,324.0,331.0,331.0,Wide column,0.23,+0.04,-0.01,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes
Deep Lake,325.0,318.0,,Vector,0.22,-0.04,,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no
TransLattice,326.0,292.0,306.0,Relational,0.21,-0.12,-0.11,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no
Transbase,327.0,329.0,274.0,Relational,0.2,-0.01,-0.31,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no
Mulgara,328.0,320.0,277.0,RDF,0.2,-0.05,-0.29,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no
Bangdb,329.0,317.0,327.0,Multi-model,0.19,-0.06,-0.06,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,"BangDB 2.0, October 2021",Open Source,BSD 3,no
Quasardb,330.0,352.0,369.0,Time Series,0.19,+0.10,+0.03,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,"3.14.1, January 2024",commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no
Valentina Server,331.0,340.0,291.0,Relational,0.18,+0.04,-0.22,https://db-engines.com/en/system/Valentina+Server,,Paradigma Software,Object-relational database and reports server,1999.0,5.7.5,commercial,,no
Alibaba Cloud TSDB,332.0,349.0,367.0,Time Series,0.18,+0.07,+0.02,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
BigObject,333.0,330.0,357.0,Relational,0.17,-0.04,0.00,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no
YTsaurus,334.0,363.0,,Multi-model,0.17,+0.11,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store",Yandex,YTsaurus is an open source platform for distributed storage and processing.,2023.0,,Open Source,"Apache License, Version 2.0",no
NosDB,335.0,327.0,366.0,Document,0.16,-0.06,+0.00,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no
XTDB,336.0,326.0,342.0,Document,0.16,-0.07,-0.05,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
GraphBase,337.0,334.0,293.0,Graph,0.16,-0.02,-0.23,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no
NEventStore,338.0,338.0,323.0,Event,0.15,-0.01,-0.11,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
Linter,339.0,342.0,316.0,"Relational, Multi-model",0.15,+0.02,-0.14,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru,RDBMS for high security requirements,1990.0,,commercial,,no
HugeGraph,340.0,353.0,282.0,Graph,0.14,+0.05,-0.32,https://db-engines.com/en/system/HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no
MyScale,341.0,308.0,,Multi-model,0.14,-0.15,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS",,"Built on,Clickhouse,, MyScale integrates vector search and SQL analytics and is used for large scale AI applications",2022.0,,commercial,,yes
Warp 10,342.0,366.0,378.0,Time Series,0.13,+0.08,+0.07,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",2015.0,,Open Source,Apache License 2.0,no
XtremeData,343.0,343.0,337.0,Relational,0.13,+0.00,-0.09,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no
STSdb,344.0,365.0,329.0,Key-value,0.13,+0.07,-0.12,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,"4.0.8, September 2015",Open Source,"GPLv2, commercial license available",no
CubicWeb,345.0,333.0,303.0,RDF,0.13,-0.05,-0.21,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no
Ultipa,346.0,337.0,308.0,Graph,0.13,-0.03,-0.18,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
TinkerGraph,347.0,359.0,302.0,Graph,0.13,+0.06,-0.22,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no
OushuDB,348.0,362.0,373.0,Relational,0.12,+0.06,+0.03,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no
Sparksee,349.0,344.0,315.0,Graph,0.11,-0.01,-0.17,https://db-engines.com/en/system/Sparksee,,,,2008.0,"v6.0, 2021",commercial,,no
Blueflood,350.0,372.0,357.0,Time Series,0.11,+0.07,-0.06,https://db-engines.com/en/system/Blueflood,,Rackspace,"Scalable TimeSeries DBMS based on,Cassandra",2013.0,,Open Source,Apache 2.0,no
ArcadeDB,351.0,369.0,309.0,Multi-model,0.11,+0.06,-0.20,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",Arcade Data,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,September 2021,Open Source,Apache Version 2.0,no
SiriDB,352.0,339.0,357.0,Time Series,0.1,-0.04,-0.06,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no
Actian PSQL,353.0,341.0,324.0,Relational,0.1,-0.03,-0.15,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v15 SP2 (15.20), August 2021",commercial,,no
openGemini,354.0,376.0,,Time Series,0.1,+0.07,,https://db-engines.com/en/system/openGemini,,Huawei and openGemini community,"An open source distributed,Time Series DBMS,with high concurrency, high performance, and high scalability",2022.0,"1.1, July 2023",Open Source,Apache Version 2.0,no
GreptimeDB,355.0,355.0,335.0,Time Series,0.1,+0.01,-0.14,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no
Transwarp KunDB,356.0,377.0,336.0,Relational,0.1,+0.07,-0.14,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no
InfinityDB,357.0,382.0,376.0,Key-value,0.09,+0.07,+0.02,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no
gStore,358.0,370.0,,Multi-model,0.09,+0.05,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store",,"A native,Graph DBMS,to store and maintain very large RDF datasets.",2016.0,"1.2, November 2023",Open Source,BSD,no
Transwarp ArgoDB,359.0,391.0,389.0,"Relational, Multi-model",0.08,+0.08,+0.08,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no
H2GIS,360.0,374.0,338.0,"Spatial, Multi-model",0.08,+0.05,-0.14,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no
AgensGraph,361.0,364.0,377.0,Multi-model,0.08,+0.02,+0.02,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",2016.0,"2.1, December 2018",Open Source,Apache License 2.0,no
VelocityDB,362.0,395.0,357.0,Multi-model,0.08,+0.08,-0.09,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,7.x,commercial,,no
DataFS,363.0,356.0,374.0,"Object oriented, Multi-model",0.08,0.00,-0.01,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no
Galaxybase,364.0,395.0,389.0,Graph,0.08,+0.08,+0.08,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",2017.0,"Nov 20, November 2021",commercial,,no
Indica,365.0,354.0,389.0,Search engine,0.07,-0.01,+0.07,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no
Hawkular Metrics,366.0,350.0,340.0,Time Series,0.07,-0.04,-0.14,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",2014.0,,Open Source,Apache 2.0,no
Transwarp Hippo,367.0,395.0,,Vector,0.07,+0.07,,https://db-engines.com/en/system/Transwarp+Hippo,,,"Cloud-native distributed,Vector DBMS,that supports storage, retrieval, and management of massive vector-based datasets",2023.0,"1.0, May 2023",commercial,,no
Tigris,368.0,351.0,330.0,Multi-model,0.07,-0.03,-0.18,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no
NSDb,369.0,384.0,389.0,Time Series,0.07,+0.05,+0.07,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no
Transwarp StellarDB,370.0,395.0,389.0,Graph,0.06,+0.06,+0.06,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no
Sadas Engine,371.0,395.0,389.0,Relational,0.06,+0.06,+0.06,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in data warehouse environments,2006.0,8.0,commercial,free trial version available,no
JaguarDB,372.0,395.0,389.0,Multi-model,0.06,+0.06,+0.06,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS","DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",2015.0,3.3 July 2023,Open Source,GPL V3.0,no
Faircom EDGE,373.0,393.0,387.0,Multi-model,0.06,+0.06,+0.06,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",1979.0,"V3, October 2020",commercial,"Restricted, free version available",no
WakandaDB,374.0,378.0,386.0,Object oriented,0.06,+0.04,+0.06,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no
Exorbyte,375.0,360.0,339.0,Search engine,0.06,-0.01,-0.16,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no
SWC-DB,376.0,388.0,385.0,"Wide column, Multi-model",0.06,+0.05,+0.05,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",2020.0,"0.5, April 2021",Open Source,GPL V3,no
TerarkDB,377.0,386.0,343.0,Key-value,0.06,+0.04,-0.13,https://db-engines.com/en/system/TerarkDB,,"ByteDance, originally Terark","A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no
ScaleOut StateServer,378.0,368.0,381.0,Key-value,0.06,+0.01,+0.04,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no
OrigoDB,379.0,392.0,343.0,Multi-model,0.06,+0.05,-0.13,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no
Tkrzw,380.0,395.0,389.0,Key-value,0.05,+0.05,+0.05,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,"0.9.3, August 2020",Open Source,Apache Version 2.0,no
SiteWhere,381.0,345.0,350.0,Time Series,0.05,-0.08,-0.14,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no
chDB,382.0,395.0,,"Relational, Multi-model",0.05,+0.05,,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS",,An embedded SQL OLAP Engine powered by ClickHouse,2023.0,,Open Source,Apache Version 2.0,no
Newts,383.0,395.0,389.0,Time Series,0.04,+0.04,+0.04,https://db-engines.com/en/system/Newts,,OpenNMS Group,"Time Series DBMS based on,Cassandra",2014.0,,Open Source,Apache 2.0,no
SenseiDB,384.0,358.0,357.0,Document,0.04,-0.03,-0.13,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no
SwayDB,385.0,394.0,388.0,Key-value,0.03,+0.03,+0.03,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",2018.0,,Open Source,GNU Affero GPL V3.0,no
SmallSQL,386.0,380.0,380.0,Relational,0.02,+0.00,+0.00,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no
SparkleDB,387.0,381.0,382.0,RDF,0.02,+0.00,+0.00,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no
Acebase,388.0,367.0,349.0,Document,0.01,-0.04,-0.17,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no
Resin Cache,389.0,385.0,383.0,Key-value,0.01,0.00,0.00,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,1998.0,"4.0.66, December 2021",Open Source,"GPLv3, extended commercial license available",no
DaggerDB,390.0,379.0,389.0,Relational,0.01,-0.01,+0.01,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no
Eloquera,390.0,347.0,364.0,Object oriented,0.01,-0.10,-0.16,https://db-engines.com/en/system/Eloquera,,,,2008.0,6.3.3; January 2014,commercial,free licenses,no
Dydra,392.0,332.0,313.0,RDF,0.01,-0.18,-0.29,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no
HyperLevelDB,393.0,346.0,343.0,Key-value,0.01,-0.11,-0.18,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no
SpaceTime,394.0,395.0,389.0,"Spatial, Multi-model",0.0,+0.00,+0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no
Siaqodb,395.0,348.0,341.0,Object oriented,0.0,-0.11,-0.21,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no
LedisDB,396.0,375.0,368.0,Key-value,0.0,-0.03,-0.16,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no
ActorDB,397.0,361.0,357.0,Relational,0.0,-0.06,-0.17,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no
BergDB,397.0,395.0,389.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no
BrightstarDB,397.0,371.0,333.0,RDF,0.0,-0.04,-0.24,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no
Cachelot.io,397.0,389.0,389.0,Key-value,0.0,-0.01,±0.00,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,2015.0,,Open Source,Simplified BSD License,no
CortexDB,397.0,395.0,389.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no
CovenantSQL,397.0,395.0,389.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no
Edge Intelligence,397.0,395.0,343.0,Relational,0.0,±0.00,-0.19,https://db-engines.com/en/system/Edge+Intelligence,,Adapdix,A Big Data Analytics Platform,2012.0,,commercial,,no
EdgelessDB,397.0,395.0,389.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no
Helium,397.0,395.0,389.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no
HGraphDB,397.0,395.0,375.0,Graph,0.0,±0.00,-0.08,https://db-engines.com/en/system/HGraphDB,,,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",2016.0,,Open Source,Apache 2.0,no
iBoxDB,397.0,395.0,343.0,Document,0.0,±0.00,-0.19,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no
JasDB,397.0,395.0,389.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no
JethroData,397.0,395.0,356.0,Relational,0.0,±0.00,-0.17,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no
K-DB,397.0,395.0,389.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no
OpenTenBase,397.0,,,Relational,0.0,,,https://db-engines.com/en/system/OpenTenBase,,"OpenAtom Foundation, previously Tencent","An enterprise-level distributed HTAP open source database based on,PostgreSQL",,"2.5, January 2024",Open Source,BSD-3,no
RaptorDB,397.0,386.0,352.0,Document,0.0,-0.01,-0.18,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
Rizhiyi,397.0,395.0,389.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no
searchxml,397.0,395.0,389.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,1.0,commercial,,no
Skytable,397.0,390.0,326.0,Key-value,0.0,-0.01,-0.25,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no
TomP2P,397.0,373.0,353.0,Key-value,0.0,-0.03,-0.18,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no
Upscaledb,397.0,357.0,334.0,Key-value,0.0,-0.08,-0.23,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no
WhiteDB,397.0,383.0,357.0,Document,0.0,-0.01,-0.17,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no
